From	To	Species	Gene Name
PPX1	7331245	Caulobacter crescentus NA1000	exopolyphosphatase(ppx1)
PPX1	5720162	Chlamydomonas reinhardtii	protoporphyrinogen oxidase(PPX1)
PPX1	856608	Saccharomyces cerevisiae S288C	exopolyphosphatase(PPX1)
PPX1	3644094	Candida albicans SC5314	exopolyphosphatase(PPX1)
PPX1	4839331	Scheffersomyces stipitis CBS 6054	exopolyphosphatase (ExopolyPase) (Metaphosphatase)(PPX1)
DCD1	20221150	Aureococcus anophagefferens	putative deoxycytidine deaminase(DCD1)
DCD1	4851496	Scheffersomyces stipitis CBS 6054	deoxycytidylate deaminase(DCD1)
DCD1	856548	Saccharomyces cerevisiae S288C	deoxycytidine monophosphate deaminase(DCD1)
DCD1	3643315	Candida albicans SC5314	dCMP deaminase(DCD1)
NPY1	3645859	Candida albicans SC5314	similar to S. cerevisiae NADH pyrophosphatase I (NUDIX domain)(NPY1)
NPY1	852813	Saccharomyces cerevisiae S288C	NAD(+) diphosphatase(NPY1)
NPY1	4838575	Scheffersomyces stipitis CBS 6054	hydrolase(NPY1)
NPY1	3645884	Candida albicans SC5314	similar to S. cerevisiae NADH pyrophosphatase I (NUDIX domain)(NPY1)
SPC3	3636121	Candida albicans SC5314	signal peptidase subunit(SPC3)
SPC3	3636104	Candida albicans SC5314	signal peptidase subunit(SPC3)
SPC3	8627862	Dictyostelium discoideum AX4	microsomal signal peptidase subunit(spc3)
SPC3	850755	Saccharomyces cerevisiae S288C	signal peptidase complex subunit SPC3(SPC3)
SPC3	14873940	Dictyostelium fasciculatum	microsomal signal peptidase subunit(spc3)
SPC3	24530873	Plasmodium reichenowi	signal peptidase complex subunit 3, putative(SPC3)
SPC3	2543318	Schizosaccharomyces pombe 972h-	signal peptidase subunit Spc3 (predicted)(spc3)
SPC3	4851835	Scheffersomyces stipitis CBS 6054	signal peptidase subunit(SPC3)
GAL10	2541411	Schizosaccharomyces pombe 972h-	UDP-glucose 4-epimerase/aldose 1-epimerase Gal10(gal10)
GAL10	852307	Saccharomyces cerevisiae S288C	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase(GAL10)
GAL10	18872251	Spathaspora passalidarum NRRL Y-27907	UDP-glucose 4-epimerase(GAL10)
GAL10	18489098	Trichoderma reesei QM6a	UDP glucose-4-epimerase(gal10)
GAL10	4838281	Scheffersomyces stipitis CBS 6054	UDP glucose-4-epimerase(GAL10)
GAL10	3644609	Candida albicans SC5314	likely UDP glucose-4-epimerase similar to S. pombe SPBPB2B2.12c and to S. cerevisiae GAL10 (YBR019C) involved in galactose metabolism(GAL10)
GAL10	3644583	Candida albicans SC5314	likely UDP glucose-4-epimerase similar to S. pombe SPBPB2B2.12c and to S. cerevisiae GAL10 (YBR019C) involved in galactose metabolism(GAL10)
IFA38	852456	Saccharomyces cerevisiae S288C	ketoreductase(IFA38)
LYS2	20678771	Heterobasidion irregulare TC 32-1	amino acid biosynthesis(lys2)
LYS2	18870682	Spathaspora passalidarum NRRL Y-27907	alpha-aminoadipate reductase(LYS2)
LYS2	2542867	Schizosaccharomyces pombe 972h-	homoaconitate hydratase Lys2(lys2)
LYS2	8315211	Penicillium rubens Wisconsin 54-1255	L-aminoadipate-semialdehyde dehydrogenase large subunit Lys2-Penicillium chrysogenum(Lys2)
LYS2	4840080	Scheffersomyces stipitis CBS 6054	L-aminoadipate-semialdehyde dehydrogenase, large subunit(LYS2)
LYS2	852412	Saccharomyces cerevisiae S288C	L-aminoadipate-semialdehyde dehydrogenase(LYS2)
LYS2	6383671	Escherichia coli	colicin lysis protein(lys2)
LYS2	3637199	Candida albicans SC5314	alpha-aminoadipate reductase large subunit; can functionally substitute for S. cerevisiae LYS2 (YBR115C)(LYS2)
LYS2	3636875	Candida albicans SC5314	alpha-aminoadipate reductase large subunit; can functionally substitute for S. cerevisiae LYS2 (YBR115C)(LYS2)
LYS2	13403459	Zymoseptoria tritici IPO323	large subunit of alpha-aminoadipate reductase(LYS2)
YPC1	852481	Saccharomyces cerevisiae S288C	phytoceramidase(YPC1)
GAD1	102452549	Pelodiscus sinensis	glutamate decarboxylase 1(GAD1)
GAD1	103199945	Orycteropus afer afer	glutamate decarboxylase 1(GAD1)
GAD1	103010874	Balaenoptera acutorostrata scammoni	glutamate decarboxylase 1(GAD1)
GAD1	101639636	Echinops telfairi	glutamate decarboxylase 1(GAD1)
GAD1	100173252	Pongo abelii	glutamate decarboxylase 1(GAD1)
GAD1	103392101	Cynoglossus semilaevis	glutamate decarboxylase 1(gad1)
GAD1	107602310	Sinocyclocheilus grahami	glutamate decarboxylase 1(gad1)
GAD1	103918195	Pygoscelis adeliae	glutamate decarboxylase 1(GAD1)
GAD1	104831427	Haliaeetus leucocephalus	glutamate decarboxylase 1(GAD1)
GAD1	107657374	Sinocyclocheilus anshuiensis	glutamate decarboxylase 1(gad1)
GAD1	104491383	Buceros rhinoceros silvestris	glutamate decarboxylase 1(GAD1)
GAD1	103751726	Nannospalax galili	glutamate decarboxylase 1(Gad1)
GAD1	468557	Pan troglodytes	glutamate decarboxylase 1(GAD1)
GAD1	108400770	Manis javanica	glutamate decarboxylase 1(GAD1)
GAD1	396928	Sus scrofa	glutamate decarboxylase 1(GAD1)
GAD1	38484	Drosophila melanogaster	Glutamic acid decarboxylase 1(Gad1)
GAD1	102296639	Haplochromis burtoni	glutamate decarboxylase 1(gad1)
GAD1	3645339	Candida albicans SC5314	Glutamate decarboxylase(GAD1)
GAD1	101117393	Ovis aries	glutamate decarboxylase 1(GAD1)
GAD1	102995985	Physeter catodon	glutamate decarboxylase 1(GAD1)
GAD1	101159146	Oryzias latipes	glutamate decarboxylase 1(gad1)
GAD1	103217294	Chlorocebus sabaeus	glutamate decarboxylase 1(GAD1)
GAD1	100703347	Oreochromis niloticus	glutamate decarboxylase 1(gad1)
GAD1	103458616	Poecilia reticulata	glutamate decarboxylase 1(gad1)
GAD1	101725846	Heterocephalus glaber	glutamate decarboxylase 1(Gad1)
GAD1	104342348	Leptosomus discolor	glutamate decarboxylase 1(GAD1)
GAD1	107316717	Coturnix japonica	glutamate decarboxylase 1(GAD1)
GAD1	105483256	Macaca nemestrina	glutamate decarboxylase 1(GAD1)
GAD1	102691750	Lepisosteus oculatus	glutamate decarboxylase 1(gad1)
GAD1	100765882	Cricetulus griseus	glutamate decarboxylase 1(Gad1)
GAD1	106855450	Sturnus vulgaris	glutamate decarboxylase 1(GAD1)
GAD1	104948271	Notothenia coriiceps	glutamate decarboxylase 1(gad1)
GAD1	105514521	Colobus angolensis palliatus	glutamate decarboxylase 1(GAD1)
GAD1	106932931	Poecilia mexicana	glutamate decarboxylase 1(gad1)
GAD1	104054556	Cuculus canorus	glutamate decarboxylase 1(GAD1)
GAD1	102764932	Myotis davidii	glutamate decarboxylase 1(GAD1)
GAD1	102965443	Panthera tigris altaica	glutamate decarboxylase 1(GAD1)
GAD1	104693887	Corvus cornix cornix	glutamate decarboxylase 1(GAD1)
GAD1	478794	Canis lupus familiaris	glutamate decarboxylase 1(GAD1)
GAD1	101053050	Saimiri boliviensis	glutamate decarboxylase 1(GAD1)
GAD1	104294890	Charadrius vociferus	glutamate decarboxylase 1(GAD1)
GAD1	108310958	Cebus capucinus imitator	glutamate decarboxylase 1(GAD1)
GAD1	101365318	Odobenus rosmarus divergens	glutamate decarboxylase 1(GAD1)
GAD1	105403312	Aquila chrysaetos canadensis	glutamate decarboxylase 1(GAD1)
GAD1	104850137	Fukomys damarensis	glutamate decarboxylase 1(Gad1)
GAD1	106512811	Austrofundulus limnaeus	glutamate decarboxylase 1(gad1)
GAD1	104526229	Caprimulgus carolinensis	glutamate decarboxylase 1(GAD1)
GAD1	517552	Bos taurus	glutamate decarboxylase 1(GAD1)
GAD1	101841851	Mesocricetus auratus	glutamate decarboxylase 1(Gad1)
GAD1	104083684	Fulmarus glacialis	glutamate decarboxylase 1(GAD1)
GAD1	102562165	Alligator mississippiensis	glutamate decarboxylase 1(GAD1)
GAD1	102831499	Chrysochloris asiatica	glutamate decarboxylase 1(GAD1)
GAD1	101555433	Sorex araneus	glutamate decarboxylase 1(GAD1)
GAD1	105880707	Microcebus murinus	glutamate decarboxylase 1(GAD1)
GAD1	24379	Rattus norvegicus	glutamate decarboxylase 1(Gad1)
GAD1	101419491	Dasypus novemcinctus	glutamate decarboxylase 1(GAD1)
GAD1	102357374	Latimeria chalumnae	glutamate decarboxylase 1(GAD1)
GAD1	103586389	Galeopterus variegatus	glutamate decarboxylase 1(GAD1)
GAD1	107136916	Marmota marmota marmota	glutamate decarboxylase 1(Gad1)
GAD1	102066471	Zonotrichia albicollis	glutamate decarboxylase 1(GAD1)
GAD1	103659552	Ursus maritimus	glutamate decarboxylase 1(GAD1)
GAD1	108266829	Ictalurus punctatus	glutamate decarboxylase 1(gad1)
GAD1	101619814	Condylura cristata	glutamate decarboxylase 1(GAD1)
GAD1	100411537	Callithrix jacchus	glutamate decarboxylase 1(GAD1)
GAD1	108508968	Lepidothrix coronata	glutamate decarboxylase 1(GAD1)
GAD1	101932130	Chrysemys picta	glutamate decarboxylase 1(GAD1)
GAD1	102022653	Chinchilla lanigera	glutamate decarboxylase 1(Gad1)
GAD1	101336648	Tursiops truncatus	glutamate decarboxylase 1(GAD1)
GAD1	100017915	Monodelphis domestica	glutamate decarboxylase 1(GAD1)
GAD1	100052860	Equus caballus	glutamate decarboxylase 1(GAD1)
GAD1	102510783	Camelus ferus	glutamate decarboxylase 1(GAD1)
GAD1	108240781	Kryptolebias marmoratus	glutamate decarboxylase 1(gad1)
GAD1	105994346	Dipodomys ordii	glutamate decarboxylase 1(Gad1)
GAD1	104387383	Chaetura pelagica	glutamate decarboxylase 1(GAD1)
GAD1	102402099	Bubalus bubalis	glutamate decarboxylase 1(GAD1)
GAD1	102045210	Geospiza fortis	glutamate decarboxylase 1(GAD1)
GAD1	103134282	Poecilia formosa	glutamate decarboxylase 1(gad1)
GAD1	103542696	Equus przewalskii	glutamate decarboxylase 1(GAD1)
GAD1	105065117	Camelus bactrianus	glutamate decarboxylase 1(GAD1)
GAD1	102854166	Elephantulus edwardii	glutamate decarboxylase 1(GAD1)
GAD1	2571	Homo sapiens	glutamate decarboxylase 1(GAD1)
GAD1	105728239	Aotus nancymaae	glutamate decarboxylase 1(GAD1)
GAD1	101923004	Falco peregrinus	glutamate decarboxylase 1(GAD1)
GAD1	104380368	Tauraco erythrolophus	glutamate decarboxylase 1(GAD1)
GAD1	103283327	Eptesicus fuscus	glutamate decarboxylase 1(GAD1)
GAD1	102473880	Tupaia chinensis	glutamate decarboxylase 1(GAD1)
GAD1	104502677	Eurypyga helias	glutamate decarboxylase 1(GAD1)
GAD1	104673531	Rhinopithecus roxellana	glutamate decarboxylase 1(GAD1)
GAD1	106834730	Equus asinus	glutamate decarboxylase 1(GAD1)
GAD1	102226227	Xiphophorus maculatus	glutamate decarboxylase 1(gad1)
GAD1	106987785	Acinonyx jubatus	glutamate decarboxylase 1(GAD1)
GAD1	553870	Lotus japonicus	glutamate decarboxylase 1(gad1)
GAD1	100303718	Hordeum vulgare	glutamate decarboxylase(gad1)
GAD1	103123856	Erinaceus europaeus	glutamate decarboxylase 1(GAD1)
GAD1	104158952	Cariama cristata	glutamate decarboxylase 1(GAD1)
GAD1	3645291	Candida albicans SC5314	Glutamate decarboxylase(GAD1)
GAD1	106546798	Thamnophis sirtalis	glutamate decarboxylase 1(GAD1)
GAD1	855291	Saccharomyces cerevisiae S288C	glutamate decarboxylase GAD1(GAD1)
GAD1	104991366	Bison bison bison	glutamate decarboxylase 1(GAD1)
GAD1	105815588	Propithecus coquereli	glutamate decarboxylase 1(GAD1)
GAD1	105548080	Mandrillus leucophaeus	glutamate decarboxylase 1(GAD1)
GAD1	105091082	Camelus dromedarius	glutamate decarboxylase 1(GAD1)
GAD1	100957491	Otolemur garnettii	glutamate decarboxylase 1(GAD1)
GAD1	102926878	Peromyscus maniculatus bairdii	glutamate decarboxylase 1(Gad1)
GAD1	105579788	Cercocebus atys	glutamate decarboxylase 1(GAD1)
GAD1	101017415	Papio anubis	glutamate decarboxylase 1(GAD1)
GAD1	101793835	Anas platyrhynchos	glutamate decarboxylase 1(GAD1)
GAD1	104538083	Mesitornis unicolor	glutamate decarboxylase 1(GAD1)
GAD1	107093563	Cyprinodon variegatus	glutamate decarboxylase 1(gad1)
GAD1	100077642	Ornithorhynchus anatinus	glutamate decarboxylase 1(GAD1)
GAD1	103455676	Malus domestica	glutamate decarboxylase(GAD1)
GAD1	101068127	Takifugu rubripes	glutamate decarboxylase 1(gad1)
GAD1	102270811	Bos mutus	glutamate decarboxylase 1(GAD1)
GAD1	102255123	Myotis brandtii	glutamate decarboxylase 1(GAD1)
GAD1	613030	Macaca mulatta	glutamate decarboxylase 1(GAD1)
GAD1	102333735	Pantholops hodgsonii	glutamate decarboxylase 1(GAD1)
GAD1	101567497	Octodon degus	glutamate decarboxylase 1(Gad1)
GAD1	102048960	Falco cherrug	glutamate decarboxylase 1(GAD1)
GAD1	103176432	Callorhinchus milii	glutamate decarboxylase 1(gad1)
GAD1	104409337	Nestor notabilis	glutamate decarboxylase 1(GAD1)
GAD1	102534135	Vicugna pacos	glutamate decarboxylase 1(GAD1)
GAD1	395743	Gallus gallus	glutamate decarboxylase 1 (brain, 67kDa)(GAD1)
GAD1	105292019	Pteropus vampyrus	glutamate decarboxylase 1(GAD1)
GAD1	106955245	Poecilia latipinna	glutamate decarboxylase 1(gad1)
GAD1	105270770	Fopius arisanus	glutamate decarboxylase 1 (brain, 67kDa)(Gad1)
GAD1	101809604	Ficedula albicollis	glutamate decarboxylase 1(GAD1)
GAD1	103616575	Corvus brachyrhynchos	glutamate decarboxylase 1(GAD1)
GAD1	100344727	Oryctolagus cuniculus	glutamate decarboxylase 1(GAD1)
GAD1	107207604	Parus major	glutamate decarboxylase 1(GAD1)
GAD1	101973719	Ictidomys tridecemlineatus	glutamate decarboxylase 1(Gad1)
GAD1	103075027	Lipotes vexillifer	glutamate decarboxylase 1(GAD1)
GAD1	102879608	Pteropus alecto	glutamate decarboxylase 1(GAD1)
GAD1	105911763	Clupea harengus	glutamate decarboxylase 1(gad1)
GAD1	102932280	Chelonia mydas	glutamate decarboxylase 1(GAD1)
GAD1	103780069	Merops nubicus	glutamate decarboxylase 1(GAD1)
GAD1	107521061	Rousettus aegyptiacus	glutamate decarboxylase 1(GAD1)
GAD1	103764147	Manacus vitellinus	glutamate decarboxylase 1(GAD1)
GAD1	104148507	Struthio camelus australis	glutamate decarboxylase 1(GAD1)
GAD1	493699	Felis catus	glutamate decarboxylase 1(GAD1)
GAD1	104280572	Apaloderma vittatum	glutamate decarboxylase 1(GAD1)
GAD1	104574403	Tinamus guttatus	glutamate decarboxylase 1(GAD1)
GAD1	105930239	Fundulus heteroclitus	glutamate decarboxylase 1(gad1)
GAD1	108797884	Nanorana parkeri	glutamate decarboxylase 1(GAD1)
GAD1	107283897	Protobothrops mucrosquamatus	glutamate decarboxylase 1(GAD1)
GAD1	100927760	Sarcophilus harrisii	glutamate decarboxylase 1(GAD1)
GAD1	100666234	Loxodonta africana	glutamate decarboxylase 1(GAD1)
GAD1	104039797	Phalacrocorax carbo	glutamate decarboxylase 1(GAD1)
GAD1	104642262	Balearica regulorum gibbericeps	glutamate decarboxylase 1(GAD1)
GAD1	106029983	Anser cygnoides domesticus	glutamate decarboxylase 1(GAD1)
GAD1	107107047	Gekko japonicus	glutamate decarboxylase 1(GAD1)
GAD1	104329038	Opisthocomus hoazin	glutamate decarboxylase 1(GAD1)
GAD1	102190646	Capra hircus	glutamate decarboxylase 1(GAD1)
GAD1	101533455	Ochotona princeps	glutamate decarboxylase 1(GAD1)
GAD1	5728966	Chlamydomonas reinhardtii	UDP-D-glucuronic acid decarboxylase(GAD1)
GAD1	102099261	Pseudopodoces humilis	glutamate decarboxylase 1(GAD1)
GAD1	101287620	Orcinus orca	glutamate decarboxylase 1(GAD1)
GAD1	104361663	Tyto alba	glutamate decarboxylase 1(GAD1)
GAD1	103803056	Acanthisitta chloris	glutamate decarboxylase 1(GAD1)
GAD1	104009993	Nipponia nippon	glutamate decarboxylase 1(GAD1)
GAD1	104304722	Picoides pubescens	glutamate decarboxylase 1(GAD1)
GAD1	105022482	Esox lucius	glutamate decarboxylase 1(gad1)
GAD1	101981147	Microtus ochrogaster	glutamate decarboxylase 1(Gad1)
GAD1	102434026	Myotis lucifugus	glutamate decarboxylase 1(GAD1)
GAD1	101676657	Mustela putorius furo	glutamate decarboxylase 1(GAD1)
GAD1	102096407	Columba livia	glutamate decarboxylase 1(GAD1)
GAD1	778442	Taeniopygia guttata	glutamate decarboxylase 1(GAD1)
GAD1	104128048	Egretta garzetta	glutamate decarboxylase 1(GAD1)
GAD1	102206424	Pundamilia nyererei	glutamate decarboxylase 1(gad1)
GAD1	14415	Mus musculus	glutamate decarboxylase 1(Gad1)
GAD1	104024619	Pelecanus crispus	glutamate decarboxylase 1(GAD1)
GAD1	102380543	Alligator sinensis	glutamate decarboxylase 1(GAD1)
GAD1	106895254	Calidris pugnax	glutamate decarboxylase 1(GAD1)
GAD1	103355073	Stegastes partitus	glutamate decarboxylase 1(gad1)
GAD1	100588875	Nomascus leucogenys	glutamate decarboxylase 1(GAD1)
GAD1	104318925	Haliaeetus albicilla	glutamate decarboxylase 1(GAD1)
GAD1	100975263	Pan paniscus	glutamate decarboxylase 1(GAD1)
GAD1	102726082	Leptonychotes weddellii	glutamate decarboxylase 1(GAD1)
GAD1	100557248	Anolis carolinensis	glutamate decarboxylase 1(gad1)
GAD1	100271904	Cavia porcellus	glutamate decarboxylase 1(Gad1)
GAD1	107390031	Nothobranchius furzeri	glutamate decarboxylase 1(gad1)
GAD1	108522276	Rhinopithecus bieti	glutamate decarboxylase 1(GAD1)
GAD1	100463588	Ailuropoda melanoleuca	glutamate decarboxylase 1(GAD1)
GAD1	103049112	Python bivittatus	glutamate decarboxylase 1(GAD1)
GAD1	103271498	UNKNOWN	glutamate decarboxylase 1 (brain, 67kDa)(GAD1)
GAD1	103814425	Serinus canaria	glutamate decarboxylase 1(GAD1)
GAD1	103898397	Aptenodytes forsteri	glutamate decarboxylase 1(GAD1)
GAD1	102117015	Macaca fascicularis	glutamate decarboxylase 1(GAD1)
GAD1	106586218	Salmo salar	glutamate decarboxylase 1(gad1)
GAD1	106499140	Apteryx australis mantelli	glutamate decarboxylase 1(GAD1)
GAD1	104627178	Phaethon lepturus	glutamate decarboxylase 1(GAD1)
GAD1	104931025	Larimichthys crocea	glutamate decarboxylase 1(gad1)
GAD1	103538697	Calypte anna	glutamate decarboxylase 1(GAD1)
GAD1	101476828	Maylandia zebra	glutamate decarboxylase 1(gad1)
SSS1	5724271	Chlamydomonas reinhardtii	soluble starch synthase(SSS1)
SSS1	2543140	Schizosaccharomyces pombe 972h-	translocon gamma subunit Sss1 (predicted)(sss1)
SSS1	851659	Saccharomyces cerevisiae S288C	translocon subunit SSS1(SSS1)
OAR1	20666133	Heterobasidion irregulare TC 32-1	3-oxoacyl-reductase 1(oar1)
OAR1	853810	Saccharomyces cerevisiae S288C	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)(OAR1)
OAR1	3872971	Neurospora crassa OR74A	3-oxyacyl-[acyl carrier protein] reductase 1(oar1)
OAR1	768089	Bombyx mori	octopamine receptor(Oar1)
OAR1	3640440	Candida albicans SC5314	3-oxoacyl-(acyl-carrier-protein) reductase(OAR1)
OAR1	4839914	Scheffersomyces stipitis CBS 6054	3-oxoacyl-[acyl- carrier-protein] reductase(OAR1)
OAR1	3640452	Candida albicans SC5314	3-oxoacyl-(acyl-carrier-protein) reductase(OAR1)
ACO2	104550208	Colius striatus	aconitase 2(ACO2)
ACO2	102002653	Microtus ochrogaster	aconitase 2(Aco2)
ACO2	103813297	Serinus canaria	aconitase 2(ACO2)
ACO2	105992066	Dipodomys ordii	aconitase 2(Aco2)
ACO2	103249765	UNKNOWN	aconitase 2, mitochondrial(ACO2)
ACO2	105298045	Pteropus vampyrus	aconitase 2(ACO2)
ACO2	106979901	Acinonyx jubatus	aconitase 2(ACO2)
ACO2	14868763	Dictyostelium fasciculatum	aconitase(aco2)
ACO2	102357273	Latimeria chalumnae	aconitase 2(ACO2)
ACO2	105514002	Colobus angolensis palliatus	aconitase 2(ACO2)
ACO2	102190495	Capra hircus	aconitase 2(ACO2)
ACO2	102046317	Falco cherrug	aconitase 2(ACO2)
ACO2	105733977	Aotus nancymaae	aconitase 2(ACO2)
ACO2	101001219	Papio anubis	aconitase 2(ACO2)
ACO2	103915759	Pygoscelis adeliae	aconitase 2(ACO2)
ACO2	104696535	Corvus cornix cornix	aconitase 2(ACO2)
ACO2	50	Homo sapiens	aconitase 2(ACO2)
ACO2	101101395	Felis catus	aconitase 2(ACO2)
ACO2	11429	Mus musculus	aconitase 2, mitochondrial(Aco2)
ACO2	106845929	Equus asinus	aconitase 2(ACO2)
ACO2	104399623	Nestor notabilis	aconitase 2(ACO2)
ACO2	103062536	Python bivittatus	aconitase 2(ACO2)
ACO2	100479955	Ailuropoda melanoleuca	aconitase 2(ACO2)
ACO2	101465480	Maylandia zebra	aconitase 2(aco2)
ACO2	104672226	Rhinopithecus roxellana	aconitase 2(ACO2)
ACO2	101290077	Orcinus orca	aconitase 2(ACO2)
ACO2	103556118	Equus przewalskii	aconitase 2(ACO2)
ACO2	102891230	Pteropus alecto	aconitase 2(ACO2)
ACO2	396999	Sus scrofa	aconitase 2(ACO2)
ACO2	828805	Arabidopsis thaliana	aconitase 2(ACO2)
ACO2	102538158	Vicugna pacos	aconitase 2(ACO2)
ACO2	102038496	Geospiza fortis	aconitase 2(ACO2)
ACO2	100055803	Equus caballus	aconitase 2(ACO2)
ACO2	103531967	Calypte anna	aconitase 2(ACO2)
ACO2	107204554	Parus major	aconitase 2(ACO2)
ACO2	108528447	Rhinopithecus bieti	aconitase 2(ACO2)
ACO2	103674083	Ursus maritimus	aconitase 2(ACO2)
ACO2	104469082	Pterocles gutturalis	aconitase 2(ACO2)
ACO2	101164929	Oryzias latipes	aconitase 2(aco2)
ACO2	102577199	Alligator mississippiensis	aconitase 2(ACO2)
ACO2	104539483	Mesitornis unicolor	aconitase 2(ACO2)
ACO2	104387583	Chaetura pelagica	aconitase 2(ACO2)
ACO2	853230	Saccharomyces cerevisiae S288C	aconitate hydratase ACO2(ACO2)
ACO2	105805250	Propithecus coquereli	aconitase 2(ACO2)
ACO2	101649054	Echinops telfairi	aconitase 2(ACO2)
ACO2	104348883	Leptosomus discolor	aconitase 2(ACO2)
ACO2	104302081	Picoides pubescens	aconitase 2(ACO2)
ACO2	374009	Gallus gallus	aconitase 2(ACO2)
ACO2	101413706	Dasypus novemcinctus	aconitase 2(ACO2)
ACO2	100656628	Loxodonta africana	aconitase 2(ACO2)
ACO2	101611345	Jaculus jaculus	aconitase 2(Aco2)
ACO2	102213227	Pundamilia nyererei	aconitase 2(aco2)
ACO2	105399332	Aquila chrysaetos canadensis	aconitase 2(ACO2)
ACO2	100598337	Nomascus leucogenys	aconitase 2(ACO2)
ACO2	100281040	Zea mays	aconitase 2(aco2)
ACO2	101030647	Saimiri boliviensis	aconitase 2(ACO2)
ACO2	104614338	Phaethon lepturus	aconitase 2(ACO2)
ACO2	100923013	Sarcophilus harrisii	aconitase 2(ACO2)
ACO2	102104957	Pseudopodoces humilis	aconitase 2(ACO2)
ACO2	100028766	Monodelphis domestica	aconitase 2(ACO2)
ACO2	102696862	Lepisosteus oculatus	aconitase 2(aco2)
ACO2	102454888	Pelodiscus sinensis	aconitase 2(ACO2)
ACO2	104167147	Cariama cristata	aconitase 2(ACO2)
ACO2	104473989	Chlamydotis macqueenii	aconitase 2(ACO2)
ACO2	101808250	Ficedula albicollis	aconitase 2(ACO2)
ACO2	474487	Canis lupus familiaris	aconitase 2(ACO2)
ACO2	102958161	Panthera tigris altaica	aconitase 2(ACO2)
ACO2	79250	Rattus norvegicus	aconitase 2(Aco2)
ACO2	108272861	Ictalurus punctatus	aconitase 2(aco2)
ACO2	102019378	Chinchilla lanigera	aconitase 2(Aco2)
ACO2	3646708	Candida albicans SC5314	likely mitochondrial aconitase family protein similar to S. cerevisiae YJL200C(ACO2)
ACO2	108796474	Nanorana parkeri	aconitase 2(ACO2)
ACO2	104256477	Gavia stellata	aconitase 2(ACO2)
ACO2	104363122	Tyto alba	aconitase 2(ACO2)
ACO2	102827035	Chrysochloris asiatica	aconitase 2(ACO2)
ACO2	102324987	Pantholops hodgsonii	aconitase 2(ACO2)
